 ,Area,Mean,Min,Max,X,Y
1,0,1,1,1,0.458,362.292
2,0,50,50,50,0.625,357.125
3,0,18,18,18,1.542,350.458
4,0,29,29,29,2.250,344.625
5,0,67,67,67,3.583,340.375
6,0,62,62,62,4.542,337.792
7,0,57,57,57,5.375,334.208
8,0,79,79,79,6.250,331.583
9,0,56,56,56,7.542,329.000
10,0,133,133,133,8.292,326.542
11,0,108,108,108,9.417,324.417
12,0,131,131,131,10.625,322.417
13,0,146,146,146,11.500,320.750
14,0,24,24,24,12.583,319.208
15,0,76,76,76,13.708,317.083
16,0,121,121,121,14.417,315.500
17,0,40,40,40,15.417,314.417
18,0,75,75,75,16.542,312.458
19,0,17,17,17,18.042,310.292
20,0,37,37,37,19.333,308.458
21,0,3,3,3,20.333,307.208
22,0,0,0,0,21.333,306.125
23,0,18,18,18,22.167,305.083
24,0,31,31,31,23.333,303.958
25,0,8,8,8,24.667,302.958
26,0,4,4,4,25.875,301.542
27,0,1,1,1,26.917,300.458
28,0,0,0,0,27.917,299.333
29,0,9,9,9,28.750,298.292
30,0,0,0,0,29.833,297.375
31,0,34,34,34,30.708,296.250
32,0,3,3,3,32.167,295.292
33,0,62,62,62,32.875,294.083
34,0,125,125,125,34.125,292.792
35,0,165,165,165,35.208,291.917
36,0,217,217,217,36.667,290.875
37,0,56,56,56,38.208,289.708
38,0,120,120,120,39.583,288.792
39,0,0,0,0,40.417,288.000
40,0,32,32,32,41.792,287.083
41,0,0,0,0,43.000,286.250
42,0,0,0,0,44.750,285.417
43,0,135,135,135,46.375,283.875
44,0,193,193,193,47.917,282.625
45,0,9,9,9,49.417,282.000
46,0,18,18,18,50.708,281.083
47,0,167,167,167,52.542,279.917
48,0,137,137,137,54.167,278.958
49,0,0,0,0,55.500,278.333
50,0,78,78,78,56.958,277.792
51,0,83,83,83,58.667,276.583
52,0,8,8,8,61.000,275.250
53,0,0,0,0,63.125,274.000
54,0,30,30,30,65.000,273.333
55,0,94,94,94,66.542,272.667
56,0,0,0,0,68.125,272.083
57,0,0,0,0,70.500,271.208
58,0,2,2,2,72.792,270.375
59,0,4,4,4,75.375,269.500
60,0,58,58,58,77.833,268.833
61,0,64,64,64,79.458,267.292
62,0,91,91,91,79.708,264.708
63,0,111,111,111,79.875,263.208
64,0,128,128,128,79.417,261.875
65,0,159,159,159,79.625,259.625
66,0,186,186,186,79.667,257.417
67,0,211,211,211,79.583,254.750
68,0,244,244,244,79.833,251.917
69,0,29,29,29,80.583,247.333
70,0,57,57,57,80.500,244.500
71,0,84,84,84,80.500,242.417
72,0,119,119,119,80.500,239.333
73,0,125,125,125,80.333,238.000
74,0,152,152,152,80.667,236.250
75,0,183,183,183,80.667,234.750
76,0,200,200,200,80.417,232.417
77,0,220,220,220,80.417,231.167
78,0,238,238,238,80.833,229.750
79,0,255,255,255,80.417,226.833
80,0,21,21,21,81.000,224.833
81,0,48,48,48,81.250,222.333
82,0,72,72,72,81.333,220.500
83,0,99,99,99,81.167,218.417
84,0,115,115,115,81.417,216.167
85,0,253,253,253,80.917,213.500
86,0,202,202,202,81.250,210.750
87,0,238,238,238,81.583,207.750
88,0,243,243,243,81.583,205.167
89,0,255,255,255,81.583,202.250
90,0,57,57,57,82.000,199.000
91,0,5,5,5,83.167,194.583
92,0,207,207,207,82.583,187.000
93,0,253,253,253,82.417,179.750
94,0,72,72,72,83.667,175.167
95,0,0,0,0,84.167,172.417
96,0,0,0,0,84.417,168.250
97,0,1,1,1,84.250,166.083
98,0,1,1,1,84.333,164.167
99,0,0,0,0,84.167,162.667
100,0,0,0,0,84.083,160.083
101,0,19,19,19,84.333,157.500
102,0,55,55,55,84.833,154.667
103,0,2,2,2,85.000,152.000
104,0,112,112,112,84.417,149.083
105,0,155,155,155,84.333,146.833
106,0,166,166,166,84.333,145.583
107,0,217,217,217,84.333,143.833
108,0,127,127,127,84.417,142.667
109,0,255,255,255,81.969,140.719
110,0,127,127,127,80.531,138.875
111,0,151,151,151,79.531,137.750
112,0,198,198,198,78.469,136.500
113,0,117,117,117,77.094,134.344
114,0,76,76,76,76.094,132.812
115,0,209,209,209,75.031,131.156
116,0,32,32,32,74.031,127.906
117,0,206,206,206,73.500,126.062
118,0,24,24,24,73.406,123.875
119,0,219,219,219,72.969,122.500
120,0,174,174,174,72.688,121.188
121,0,65,65,65,72.469,117.844
122,0,63,63,63,72.562,115.719
123,0,101,101,101,72.656,113.750
124,0,158,158,158,72.531,111.812
125,0,2,2,2,73.438,109.500
126,0,128,128,128,73.906,107.781
127,0,76,76,76,74.875,105.438
128,0,44,44,44,75.750,103.500
129,0,22,22,22,76.938,101.344
130,0,18,18,18,77.938,100.531
131,0,70,70,70,77.938,98.188
132,0,43,43,43,78.594,95.500
133,0,0,0,0,79.031,94.469
134,0,0,0,0,79.406,93.344
135,0,14,14,14,79.562,92.219
136,0,128,128,128,79.938,90.500
137,0,0,0,0,80.312,88.969
138,0,82,82,82,80.625,86.938
139,0,0,0,0,81.781,83.031
140,0,161,161,161,81.875,79.719
141,0,225,225,225,81.812,77.875
142,0,17,17,17,82.094,76.156
143,0,63,63,63,82.844,74.094
144,0,0,0,0,83.125,71.469
145,0,52,52,52,83.562,67.219
146,0,0,0,0,84.062,65.812
147,0,0,0,0,84.188,64.312
148,0,20,20,20,84.500,62.562
149,0,2,2,2,85.250,59.719
150,0,22,22,22,85.000,57.938
151,0,31,31,31,85.281,56.625
152,0,4,4,4,86.125,54.281
153,0,33,33,33,86.625,52.219
154,0,243,243,243,86.969,49.594
155,0,188,188,188,87.438,47.688
156,0,0,0,0,88.031,46.188
157,0,207,207,207,88.781,44.688
158,0,39,39,39,89.656,43.156
159,0,27,27,27,90.469,41.656
160,0,10,10,10,91.062,40.812
161,0,36,36,36,91.562,39.312
162,0,83,83,83,92.906,37.531
163,0,0,0,0,93.531,36.844
164,0,0,0,0,94.188,35.500
165,0,0,0,0,95.250,34.250
166,0,139,139,139,95.844,32.781
167,0,77,77,77,96.906,31.625
168,0,190,190,190,97.938,29.531
169,0,139,139,139,98.281,28.219
170,0,100,100,100,99.406,27.500
171,0,79,79,79,100.719,26.812
172,0,46,46,46,101.594,25.844
173,0,13,13,13,102.906,24.875
174,0,24,24,24,103.906,23.656
175,0,25,25,25,104.938,22.312
176,0,5,5,5,106.344,21.062
177,0,45,45,45,107.406,19.969
178,0,0,0,0,108.438,19.188
179,0,65,65,65,108.906,18.625
180,0,0,0,0,110.281,17.781
181,0,0,0,0,111.594,16.750
182,0,19,19,19,112.938,15.688
183,0,0,0,0,114.219,14.906
184,0,11,11,11,115.594,14.156
185,0,56,56,56,116.875,12.406
186,0,17,17,17,118.344,11.312
187,0,80,80,80,119.281,10.719
188,0,81,81,81,121.188,9.719
189,0,0,0,0,122.719,9.000
190,0,0,0,0,124.125,8.438
191,0,58,58,58,125.469,7.906
192,0,85,85,85,127.281,6.875
193,0,121,121,121,129.406,5.875
194,0,15,15,15,130.438,5.406
195,0,103,103,103,132.031,4.906
196,0,26,26,26,133.375,4.500
197,0,126,126,126,135.188,3.906
198,0,16,16,16,136.750,3.250
199,0,170,170,170,138.312,2.688
200,0,34,34,34,140.188,2.438
201,0,203,203,203,142.938,1.656
202,0,49,49,49,146.406,1.844
203,0,89,89,89,148.750,1.812
204,0,10,10,10,151.125,2.219
205,0,209,209,209,153.188,2.906
206,0,0,0,0,154.875,4.406
207,0,0,0,0,155.750,5.219
208,0,0,0,0,156.906,7.000
209,0,0,0,0,157.281,8.969
210,0,0,0,0,157.875,11.125
211,0,0,0,0,158.562,12.469
212,0,0,0,0,159.219,14.031
213,0,0,0,0,159.562,12.812
214,0,0,0,0,159.625,11.625
215,0,0,0,0,159.844,10.688
216,0,0,0,0,160.188,9.250
217,0,6,6,6,160.562,7.844
218,0,0,0,0,160.969,6.656
219,0,4,4,4,161.531,5.250
220,0,5,5,5,162.125,3.875
221,0,0,0,0,162.938,2.188
222,0,181,181,181,164.719,0.969
223,0,8,8,8,167.312,0.531
224,0,28,28,28,169.031,0.406
225,0,90,90,90,171.812,0.750
226,0,1,1,1,174.844,1.531
227,0,73,73,73,177.219,1.906
228,0,9,9,9,178.875,2.750
229,0,0,0,0,181.438,3.562
230,0,14,14,14,183.719,3.688
231,0,0,0,0,186.406,4.500
232,0,0,0,0,188.344,5.562
233,0,73,73,73,190.219,5.812
234,0,0,0,0,190.906,6.125
235,0,16,16,16,192.781,6.812
236,0,10,10,10,194.156,7.438
237,0,12,12,12,196.094,8.250
238,0,0,0,0,197.719,9.312
239,0,0,0,0,199.750,10.500
240,0,31,31,31,200.281,10.500
241,0,0,0,0,201.594,11.469
242,0,5,5,5,204.375,13.188
243,0,23,23,23,206.062,14.219
244,0,0,0,0,207.406,15.375
245,0,20,20,20,209.188,16.719
246,0,0,0,0,210.281,17.625
247,0,0,0,0,211.594,18.562
248,0,0,0,0,212.594,19.312
249,0,33,33,33,214.094,20.562
250,0,40,40,40,215.375,21.750
251,0,89,89,89,216.438,22.875
252,0,0,0,0,217.594,24.031
253,0,137,137,137,218.125,24.531
254,0,5,5,5,218.812,25.875
255,0,59,59,59,220.125,27.219
256,0,155,155,155,221.156,28.500
257,0,68,68,68,222.250,30.125
258,0,25,25,25,223.281,32.031
259,0,148,148,148,224.125,33.875
260,0,2,2,2,224.656,36.125
261,0,10,10,10,225.562,36.938
262,0,17,17,17,225.875,38.719
263,0,11,11,11,226.812,40.062
264,0,4,4,4,227.469,41.188
265,0,90,90,90,228.312,42.531
266,0,241,241,241,229.094,43.562
267,0,163,163,163,229.312,44.500
268,0,52,52,52,229.969,45.594
269,0,214,214,214,230.375,46.594
270,0,148,148,148,230.562,47.844
271,0,29,29,29,230.781,48.969
272,0,133,133,133,231.156,50.219
273,0,56,56,56,231.531,51.406
274,0,244,244,244,232.188,52.719
275,0,99,99,99,232.281,54.906
276,0,2,2,2,232.906,56.594
277,0,95,95,95,233.438,58.219
278,0,127,127,127,234.500,62.375
279,0,18,18,18,234.875,64.906
280,0,119,119,119,235.594,67.438
281,0,22,22,22,235.844,69.781
282,0,3,3,3,235.844,72.625
283,0,0,0,0,235.750,73.281
284,0,10,10,10,236.531,75.438
285,0,31,31,31,237.312,80.750
286,0,192,192,192,238.125,83.312
287,0,88,88,88,238.156,85.781
288,0,3,3,3,238.656,87.812
289,0,59,59,59,239.688,90.125
290,0,192,192,192,240.344,91.812
291,0,158,158,158,241.469,94.031
292,0,177,177,177,242.594,97.500
293,0,4,4,4,242.812,100.781
294,0,121,121,121,243.344,102.750
295,0,255,255,255,244.188,105.656
296,0,223,223,223,244.094,109.438
297,0,0,0,0,243.656,113.188
298,0,37,37,37,243.812,116.281
299,0,119,119,119,243.125,118.812
300,0,0,0,0,242.969,120.344
301,0,16,16,16,242.469,121.781
302,0,0,0,0,241.844,123.469
303,0,51,51,51,241.531,125.125
304,0,6,6,6,240.688,127.281
305,0,118,118,118,240.062,128.875
306,0,105,105,105,239.531,130.219
307,0,0,0,0,238.594,131.688
308,0,132,132,132,238.000,132.688
309,0,205,205,205,237.000,134.969
310,0,144,144,144,236.438,135.562
311,0,87,87,87,235.594,136.500
312,0,52,52,52,234.062,137.781
313,0,35,35,35,233.219,138.688
314,0,53,53,53,232.531,139.375
315,0,169,169,169,232.281,140.750
316,0,175,175,175,232.312,143.438
317,0,165,165,165,232.219,145.938
318,0,165,165,165,232.219,148.438
319,0,255,255,255,233.042,153.625
320,0,146,146,146,232.708,156.583
321,0,138,138,138,232.792,158.625
322,0,255,255,255,233.042,160.875
323,0,114,114,114,232.625,163.875
324,0,103,103,103,232.667,165.458
325,0,77,77,77,232.458,168.250
326,0,255,255,255,233.042,170.125
327,0,53,53,53,232.625,172.667
328,0,40,40,40,232.958,174.292
329,0,21,21,21,232.833,176.333
330,0,10,10,10,232.708,179.125
331,0,245,245,245,233.208,180.708
332,0,251,251,251,234.000,183.958
333,0,202,202,202,233.500,186.125
334,0,176,176,176,233.458,188.000
335,0,154,154,154,233.667,190.125
336,0,148,148,148,233.667,191.792
337,0,252,252,252,234.167,194.667
338,0,253,253,253,234.458,198.333
339,0,251,251,251,234.375,200.833
340,0,239,239,239,234.667,203.208
341,0,232,232,232,234.542,204.958
342,0,252,252,252,235.208,207.375
343,0,175,175,175,234.917,210.917
344,0,95,95,95,234.875,214.000
345,0,255,255,255,235.000,215.708
346,0,250,250,250,235.250,217.583
347,0,249,249,249,235.292,222.542
348,0,225,225,225,235.208,224.000
349,0,215,215,215,235.583,225.000
350,0,182,182,182,235.292,227.125
351,0,130,130,130,235.500,230.500
352,0,80,80,80,235.708,233.000
353,0,250,250,250,236.458,236.125
354,0,214,214,214,236.542,238.167
355,0,172,172,172,236.083,241.417
356,0,156,156,156,236.667,243.542
357,0,137,137,137,236.542,245.042
358,0,131,131,131,236.750,246.500
359,0,105,105,105,236.625,250.542
360,0,70,70,70,236.917,252.792
361,0,48,48,48,236.708,253.875
362,0,232,232,232,237.167,256.292
363,0,95,95,95,237.583,259.792
364,0,4,4,4,237.833,261.250
365,0,242,242,242,238.542,261.875
366,0,255,255,255,239.167,263.833
367,0,243,243,243,240.083,265.167
368,0,240,240,240,240.375,266.542
369,0,161,161,161,241.625,268.292
370,0,237,237,237,244.958,270.958
371,0,116,116,116,248.042,272.125
372,0,197,197,197,249.708,272.958
373,0,20,20,20,252.000,274.042
374,0,12,12,12,254.458,275.000
375,0,11,11,11,257.167,276.333
376,0,247,247,247,259.375,276.833
377,0,227,227,227,261.000,277.708
378,0,102,102,102,262.958,278.750
379,0,139,139,139,264.875,279.583
380,0,49,49,49,267.292,281.375
381,0,0,0,0,268.083,282.333
382,0,108,108,108,269.250,282.708
383,0,0,0,0,271.458,284.167
384,0,55,55,55,272.250,284.708
385,0,0,0,0,274.375,286.083
386,0,0,0,0,275.625,287.167
387,0,11,11,11,276.458,287.708
388,0,47,47,47,279.250,289.000
389,0,21,21,21,280.583,290.042
390,0,101,101,101,282.375,291.833
391,0,234,234,234,284.042,292.833
392,0,0,0,0,285.542,294.417
393,0,255,255,255,289.083,296.958
394,0,255,255,255,292.000,299.792
395,0,255,255,255,293.083,300.750
396,0,53,53,53,294.542,302.667
397,0,100,100,100,296.083,304.167
398,0,126,126,126,297.167,305.292
399,0,155,155,155,298.542,306.958
400,0,221,221,221,300.167,308.542
401,0,96,96,96,301.500,310.667
402,0,153,153,153,302.083,311.875
403,0,13,13,13,302.917,312.917
404,0,0,0,0,303.792,314.500
405,0,68,68,68,305.333,316.167
406,0,32,32,32,306.917,318.042
407,0,132,132,132,307.167,319.083
408,0,255,255,255,308.042,319.875
409,0,113,113,113,308.667,321.167
410,0,114,114,114,309.542,323.875
411,0,119,119,119,310.333,325.500
412,0,147,147,147,311.292,327.667
413,0,58,58,58,312.542,330.167
414,0,113,113,113,313.625,332.667
415,0,253,253,253,315.375,335.833
416,0,178,178,178,315.833,337.792
417,0,242,242,242,316.542,339.500
418,0,35,35,35,316.208,342.583
419,0,156,156,156,317.458,344.333
420,0,237,237,237,318.750,347.708
421,0,70,70,70,318.500,350.000
422,0,205,205,205,319.333,353.083
423,0,162,162,162,319.500,354.958
424,0,47,47,47,319.375,357.000
425,0,0,0,0,319.542,361.833
426,0,0,0,0,319.833,363.958
427,0,0,0,0,319.833,366.542
428,0,0,0,0,319.292,368.500
429,0,0,0,0,319.958,372.000
430,0,0,0,0,319.667,374.583
431,0,2,2,2,319.500,377.000
432,0,4,4,4,319.333,378.875
433,0,13,13,13,319.542,381.583
434,0,255,255,255,320.000,386.000
435,0,240,240,240,319.667,387.542
436,0,172,172,172,318.042,391.208
437,0,107,107,107,317.417,394.292
438,0,47,47,47,316.125,397.542
439,0,3,3,3,315.250,399.750
440,0,134,134,134,314.583,404.167
441,0,70,70,70,313.875,406.500
442,0,70,70,70,312.458,408.542
443,0,66,66,66,311.250,410.708
444,0,0,0,0,309.583,412.083
445,0,0,0,0,308.958,413.167
446,0,2,2,2,307.500,414.458
447,0,90,90,90,305.625,419.500
448,0,56,56,56,303.875,421.833
449,0,216,216,216,302.167,423.375
450,0,235,235,235,300.292,425.208
451,0,84,84,84,297.542,427.833
452,0,174,174,174,295.250,429.375
453,0,132,132,132,292.750,431.938
454,0,186,186,186,291.312,432.562
455,0,255,255,255,290.250,434.062
456,0,255,255,255,288.562,435.188
457,0,253,253,253,285.688,437.000
458,0,255,255,255,282.250,438.875
459,0,255,255,255,279.938,439.688
460,0,255,255,255,277.625,441.250
461,0,255,255,255,273.938,442.312
462,0,255,255,255,268.875,443.500
463,0,253,253,253,264.750,444.875
464,0,123,123,123,261.312,444.875
465,0,249,249,249,253.000,446.750
466,0,254,254,254,249.062,447.188
467,0,236,236,236,243.812,447.438
468,0,255,255,255,240.312,448.188
469,0,255,255,255,231.188,448.062
470,0,13,13,13,224.812,447.938
471,0,21,21,21,217.312,447.938
472,0,50,50,50,212.938,447.625
473,0,97,97,97,208.000,447.250
474,0,230,230,230,201.000,447.188
475,0,255,255,255,197.562,447.250
476,0,5,5,5,192.125,445.500
477,0,3,3,3,183.875,444.500
478,0,132,132,132,178.500,444.062
479,0,11,11,11,172.500,442.750
480,0,10,10,10,168.438,441.375
481,0,63,63,63,165.500,441.875
482,0,8,8,8,163.250,441.812
483,0,253,253,253,161.062,443.625
484,0,255,255,255,158.750,444.250
485,0,255,255,255,155.250,445.562
486,0,180,180,180,150.688,445.938
487,0,229,229,229,146.375,446.688
488,0,255,255,255,142.312,447.438
489,0,196,196,196,138.188,447.812
490,0,255,255,255,135.250,448.375
491,0,227,227,227,131.250,448.812
492,0,253,253,253,128.812,449.062
493,0,252,252,252,127.188,449.062
494,0,255,255,255,122.625,449.375
495,0,255,255,255,119.875,450.125
496,0,255,255,255,116.000,450.562
497,0,247,247,247,113.312,450.688
498,0,255,255,255,110.750,450.875
499,0,248,248,248,99.000,450.125
500,0,255,255,255,95.188,450.438
501,0,116,116,116,88.938,449.250
502,0,244,244,244,82.125,449.188
503,0,106,106,106,76.562,448.125
504,0,44,44,44,70.938,447.750
505,0,47,47,47,64.375,446.938
506,0,0,0,0,61.312,445.875
507,0,48,48,48,56.750,444.938
508,0,5,5,5,51.750,442.438
509,0,6,6,6,46.438,440.812
510,0,227,227,227,40.062,438.312
511,0,210,210,210,37.562,436.188
512,0,47,47,47,35.562,434.938
513,0,152,152,152,33.812,433.250
514,0,83,83,83,32.375,432.625
515,0,206,206,206,29.938,430.812
516,0,8,8,8,28.000,428.625
517,0,255,255,255,25.562,427.062
518,0,27,27,27,22.688,422.938
519,0,147,147,147,19.500,419.688
520,0,60,60,60,17.125,416.812
521,0,19,19,19,16.062,414.812
522,0,153,153,153,14.938,412.125
523,0,101,101,101,13.000,410.562
524,0,250,250,250,11.812,408.125
525,0,161,161,161,11.125,407.000
526,0,24,24,24,10.625,404.312
527,0,0,0,0,9.000,401.312
528,0,60,60,60,6.625,395.312
529,0,33,33,33,5.812,392.750
530,0,237,237,237,3.875,388.312
531,0,120,120,120,3.562,386.500
532,0,136,136,136,2.375,382.562
533,0,190,190,190,1.688,378.375
534,0,13,13,13,1.000,375.688
535,0,209,209,209,0.750,373.500
536,0,74,74,74,0.688,369.688
